

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
000.453  000.443: locale set
001.026  000.574: inits 1
001.049  000.023: window checked
001.055  000.006: parsing arguments
001.144  000.089: expanding arguments
001.216  000.072: inits 2
002.093  000.877: init highlight
002.095  000.002: waiting for UI
003.725  001.630: done waiting for UI
003.777  000.052: initialized screen early for UI
006.672  002.639  002.639: sourcing $VIM/sysinit.vim
020.220  013.496  013.496: sourcing /home/brian/.config/nvim/init.vim
020.229  000.317: sourcing vimrc file(s)
025.643  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/cfg.vim
025.665  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
025.696  000.022  000.022: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
025.721  000.017  000.017: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
025.740  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
025.755  000.007  000.007: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
025.773  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
025.787  000.008  000.008: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
025.805  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
025.821  000.008  000.008: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
025.839  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
025.852  000.007  000.007: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
025.866  000.006  000.006: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
025.978  000.009  000.009: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
026.002  000.015  000.015: sourcing /usr/share/vim/vimfiles/ftdetect/dockerfile.vim
026.027  000.018  000.018: sourcing /usr/share/vim/vimfiles/ftdetect/lf.vim
026.055  000.019  000.019: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
026.091  000.029  000.029: sourcing /usr/share/vim/vimfiles/ftdetect/task.vim
026.135  005.858  005.626: sourcing /usr/share/nvim/runtime/filetype.vim
026.203  000.023  000.023: sourcing /usr/share/nvim/runtime/ftplugin.vim
026.266  000.019  000.019: sourcing /usr/share/nvim/runtime/indent.vim
026.617  000.243  000.243: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
026.763  000.428  000.185: sourcing /usr/share/nvim/runtime/syntax/synload.vim
026.781  000.486  000.058: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
046.779  000.243  000.243: sourcing /home/brian/.config/nvim/plugin/autocommands.vim
046.798  000.007  000.007: sourcing /home/brian/.config/nvim/plugin/coc_snippets.vim
046.835  000.029  000.029: sourcing /home/brian/.config/nvim/plugin/commands.vim
046.860  000.018  000.018: sourcing /home/brian/.config/nvim/plugin/mappings/command.vim
046.905  000.039  000.039: sourcing /home/brian/.config/nvim/plugin/mappings/insert.vim
047.273  000.362  000.362: sourcing /home/brian/.config/nvim/plugin/mappings/leader.vim
047.417  000.133  000.133: sourcing /home/brian/.config/nvim/plugin/mappings/normal.vim
047.462  000.036  000.036: sourcing /home/brian/.config/nvim/plugin/mappings/terminal.vim
047.477  000.008  000.008: sourcing /home/brian/.config/nvim/plugin/mappings/visual.vim
049.870  000.726  000.726: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/plugin/polyglot.vim
050.772  000.007  000.007: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
051.006  000.265  000.258: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/filetype.vim
051.193  000.006  000.006: sourcing /usr/share/nvim/runtime/filetype.vim
051.305  000.008  000.008: sourcing /home/brian/.config/nvim/ftdetect/cfg.vim
051.320  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
051.333  000.006  000.006: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
051.355  000.016  000.016: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
051.371  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
051.409  000.007  000.007: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
051.425  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
051.438  000.006  000.006: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
051.453  000.008  000.008: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
051.466  000.006  000.006: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
051.482  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
051.494  000.006  000.006: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
051.506  000.006  000.006: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
051.541  000.007  000.007: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
051.642  000.008  000.008: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
051.709  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
051.792  000.007  000.007: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
051.848  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
051.898  000.008  000.008: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
052.080  000.007  000.007: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
052.101  000.014  000.014: sourcing /usr/share/vim/vimfiles/ftdetect/dockerfile.vim
052.123  000.015  000.015: sourcing /usr/share/vim/vimfiles/ftdetect/lf.vim
052.146  000.016  000.016: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
052.180  000.027  000.027: sourcing /usr/share/vim/vimfiles/ftdetect/task.vim
065.016  005.064  005.064: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/extras/filetype.vim
067.583  017.680  012.101: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
083.479  000.134  000.134: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
084.045  000.114  000.114: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
