

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
000.245  000.235: locale set
000.502  000.257: inits 1
000.512  000.010: window checked
000.515  000.002: parsing arguments
000.552  000.037: expanding arguments
000.587  000.035: inits 2
001.032  000.445: init highlight
001.033  000.001: waiting for UI
002.369  001.336: done waiting for UI
002.388  000.018: initialized screen early for UI
002.501  000.010  000.010: sourcing /usr/share/nvim/archlinux.vim
002.505  000.033  000.023: sourcing /etc/xdg//nvim/sysinit.vim
012.763  010.241  010.241: sourcing /home/brian/.config/nvim/init.vim
012.769  000.108: sourcing vimrc file(s)
019.189  000.015  000.015: sourcing /home/brian/.config/nvim/ftdetect/cfg.vim
019.220  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
019.243  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
019.279  000.023  000.023: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
019.316  000.025  000.025: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
019.348  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
019.375  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
019.397  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
019.422  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
019.443  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
019.477  000.019  000.019: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
019.501  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/tex.vim
019.523  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
019.546  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
019.657  000.013  000.013: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
019.692  000.022  000.022: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
020.136  000.012  000.012: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
020.168  000.019  000.019: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
020.193  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
020.214  000.009  000.009: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
020.364  007.561  007.277: sourcing /usr/share/nvim/runtime/filetype.vim
020.777  000.036  000.036: sourcing /usr/share/nvim/runtime/ftplugin.vim
021.171  000.030  000.030: sourcing /usr/share/nvim/runtime/indent.vim
021.882  000.277  000.277: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
022.306  000.750  000.474: sourcing /usr/share/nvim/runtime/syntax/synload.vim
022.333  000.826  000.075: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
025.975  000.160  000.160: sourcing /home/brian/.config/nvim/plugin/autocommands.vim
025.998  000.009  000.009: sourcing /home/brian/.config/nvim/plugin/coc_snippets.vim
026.041  000.033  000.033: sourcing /home/brian/.config/nvim/plugin/commands.vim
026.077  000.025  000.025: sourcing /home/brian/.config/nvim/plugin/mappings/command.vim
026.133  000.043  000.043: sourcing /home/brian/.config/nvim/plugin/mappings/insert.vim
026.622  000.473  000.473: sourcing /home/brian/.config/nvim/plugin/mappings/leader.vim
026.814  000.173  000.173: sourcing /home/brian/.config/nvim/plugin/mappings/normal.vim
026.878  000.049  000.049: sourcing /home/brian/.config/nvim/plugin/mappings/terminal.vim
026.904  000.012  000.012: sourcing /home/brian/.config/nvim/plugin/mappings/visual.vim
028.695  000.881  000.881: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/plugin/polyglot.vim
029.842  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
030.456  000.654  000.644: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/filetype.vim
030.700  000.013  000.013: sourcing /usr/share/nvim/runtime/filetype.vim
031.181  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/cfg.vim
031.206  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
031.226  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
031.260  000.022  000.022: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
031.284  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
031.303  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
031.326  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
031.346  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
031.368  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
031.387  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
031.410  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
031.429  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/tex.vim
031.448  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
031.468  000.009  000.009: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
031.521  000.012  000.012: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
031.631  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
031.782  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
031.864  000.018  000.018: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
031.939  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
032.155  000.011  000.011: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
032.189  000.022  000.022: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
032.590  000.012  000.012: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
032.619  000.016  000.016: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
032.641  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
