

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.544  000.533: locale set
001.212  000.668: inits 1
001.237  000.025: window checked
001.242  000.005: parsing arguments
001.325  000.084: expanding arguments
001.402  000.077: inits 2
002.487  001.086: init highlight
002.491  000.003: waiting for UI
004.532  002.041: done waiting for UI
004.626  000.094: initialized screen early for UI
004.924  000.056  000.056: sourcing $VIM/sysinit.vim
020.263  015.292  015.292: sourcing /home/brian/.config/nvim/init.vim
020.270  000.296: sourcing vimrc file(s)
027.325  000.016  000.016: sourcing /home/brian/.config/nvim/ftdetect/cfg.vim
027.357  000.016  000.016: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
027.382  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
027.430  000.036  000.036: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
027.458  000.015  000.015: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
027.484  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
027.512  000.015  000.015: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
027.538  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
027.563  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
027.588  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
027.616  000.016  000.016: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
027.638  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/tex.vim
027.663  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
027.688  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
027.827  000.016  000.016: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
027.867  000.027  000.027: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
028.372  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
028.407  000.020  000.020: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
028.432  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
028.465  000.020  000.020: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
028.490  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
028.605  008.296  007.971: sourcing /usr/share/nvim/runtime/filetype.vim
028.983  000.037  000.037: sourcing /usr/share/nvim/runtime/ftplugin.vim
029.379  000.057  000.057: sourcing /usr/share/nvim/runtime/indent.vim
030.104  000.285  000.285: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
030.519  000.760  000.474: sourcing /usr/share/nvim/runtime/syntax/synload.vim
030.549  000.845  000.085: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
034.404  000.152  000.152: sourcing /home/brian/.config/nvim/plugin/autocommands.vim
034.429  000.010  000.010: sourcing /home/brian/.config/nvim/plugin/coc_snippets.vim
034.482  000.038  000.038: sourcing /home/brian/.config/nvim/plugin/commands.vim
034.523  000.025  000.025: sourcing /home/brian/.config/nvim/plugin/mappings/command.vim
034.587  000.052  000.052: sourcing /home/brian/.config/nvim/plugin/mappings/insert.vim
035.180  000.570  000.570: sourcing /home/brian/.config/nvim/plugin/mappings/leader.vim
035.429  000.220  000.220: sourcing /home/brian/.config/nvim/plugin/mappings/normal.vim
035.508  000.062  000.062: sourcing /home/brian/.config/nvim/plugin/mappings/terminal.vim
035.540  000.014  000.014: sourcing /home/brian/.config/nvim/plugin/mappings/visual.vim
036.780  000.213  000.213: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/plugin/polyglot.vim
037.967  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
038.593  000.673  000.662: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/filetype.vim
038.900  000.015  000.015: sourcing /usr/share/nvim/runtime/filetype.vim
