

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.020  000.020: --- NVIM STARTING ---
000.625  000.605: locale set
001.274  000.648: inits 1
001.309  000.035: window checked
001.315  000.006: parsing arguments
001.412  000.097: expanding arguments
001.483  000.071: inits 2
002.759  001.277: init highlight
002.763  000.004: waiting for UI
004.558  001.795: done waiting for UI
004.615  000.057: initialized screen early for UI
004.961  000.044  000.044: sourcing $VIM/sysinit.vim
027.969  022.950  022.950: sourcing /home/brian/.config/nvim/init.vim
027.982  000.373: sourcing vimrc file(s)
037.088  000.020  000.020: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
037.121  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
037.161  000.027  000.027: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
037.191  000.016  000.016: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
037.217  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
037.267  000.024  000.024: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
037.295  000.012  000.012: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
037.323  000.015  000.015: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
037.348  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
037.377  000.017  000.017: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
037.403  000.013  000.013: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
037.428  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
037.544  000.013  000.013: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
038.111  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
038.148  000.022  000.022: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
038.175  000.012  000.012: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
038.212  000.021  000.021: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
038.237  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
038.355  010.311  010.024: sourcing /usr/share/nvim/runtime/filetype.vim
038.765  000.040  000.040: sourcing /usr/share/nvim/runtime/ftplugin.vim
039.171  000.034  000.034: sourcing /usr/share/nvim/runtime/indent.vim
039.939  000.298  000.298: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
040.377  000.796  000.498: sourcing /usr/share/nvim/runtime/syntax/synload.vim
040.408  000.882  000.086: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
045.121  000.189  000.189: sourcing /home/brian/.config/nvim/plugin/autocommands.vim
045.146  000.010  000.010: sourcing /home/brian/.config/nvim/plugin/coc_snippets.vim
045.195  000.037  000.037: sourcing /home/brian/.config/nvim/plugin/commands.vim
045.233  000.026  000.026: sourcing /home/brian/.config/nvim/plugin/mappings/command.vim
045.301  000.053  000.053: sourcing /home/brian/.config/nvim/plugin/mappings/insert.vim
045.914  000.601  000.601: sourcing /home/brian/.config/nvim/plugin/mappings/leader.vim
046.128  000.194  000.194: sourcing /home/brian/.config/nvim/plugin/mappings/normal.vim
046.201  000.055  000.055: sourcing /home/brian/.config/nvim/plugin/mappings/terminal.vim
046.230  000.013  000.013: sourcing /home/brian/.config/nvim/plugin/mappings/visual.vim
049.004  001.752  001.752: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/plugin/polyglot.vim
050.574  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
051.459  000.947  000.932: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/filetype.vim
051.856  000.018  000.018: sourcing /usr/share/nvim/runtime/filetype.vim
052.500  000.029  000.029: sourcing /home/brian/.config/nvim/ftdetect/conf.vim
052.543  000.020  000.020: sourcing /home/brian/.config/nvim/ftdetect/csv.vim
052.633  000.039  000.039: sourcing /home/brian/.config/nvim/ftdetect/dosini.vim
052.673  000.020  000.020: sourcing /home/brian/.config/nvim/ftdetect/dunstrc.vim
052.697  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/fennel.vim
052.723  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/lalrpop.vim
052.744  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/lua.vim
052.769  000.014  000.014: sourcing /home/brian/.config/nvim/ftdetect/markdown.vim
052.791  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/rasi.vim
052.818  000.015  000.015: sourcing /home/brian/.config/nvim/ftdetect/sxhkdrc.vim
052.840  000.011  000.011: sourcing /home/brian/.config/nvim/ftdetect/toml.vim
052.861  000.010  000.010: sourcing /home/brian/.config/nvim/ftdetect/yaml.vim
052.922  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
053.079  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
053.180  000.020  000.020: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
053.300  000.012  000.012: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
053.395  000.020  000.020: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
053.482  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
053.754  000.012  000.012: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
054.245  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
054.275  000.016  000.016: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
054.299  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
054.328  000.016  000.016: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
054.351  000.009  000.009: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
074.774  007.930  007.930: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/extras/filetype.vim
077.965  028.886  019.617: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
097.646  000.220  000.220: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
098.907  000.171  000.171: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
111.977  015.226  014.835: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
113.501  000.383  000.383: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
115.791  000.352  000.352: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
127.383  015.098  014.364: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
177.145  000.776  000.776: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-repeat/autoload/repeat.vim
177.366  001.231  000.455: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/macros/sandwich/keymap/surround.vim
177.927  000.120  000.120: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/nvim-tree.lua/plugin/tree.vim
178.713  000.185  000.185: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vimux/plugin/vimux.vim
